seed_1,seed_2,diff
1,2,13.841333389282227
1,3,7.591772556304932
1,4,18.472396850585938
1,5,5.569929122924805
1,6,12.448229789733887
1,7,9.629392623901367
1,8,9.89774227142334
1,9,1.1490559577941895
1,10,16.587295532226562
1,11,30.787734985351562
1,12,13.571136474609375
1,13,14.410844802856445
1,14,14.031085968017578
1,15,11.584808349609375
1,16,14.934767723083496
2,3,7.3637189865112305
2,4,14.421377182006836
2,5,13.632696151733398
2,6,5.310727119445801
2,7,4.76171875
2,8,6.806274890899658
2,9,7.689877510070801
2,10,6.305515289306641
2,11,27.738405227661133
2,12,4.257803916931152
2,13,12.608621597290039
2,14,28.16232681274414
2,15,13.063058853149414
2,16,10.402743339538574
3,4,26.369525909423828
3,5,7.133724689483643
3,6,5.970615386962891
3,7,10.204561233520508
3,8,8.142340660095215
3,9,11.802619934082031
3,10,10.10968017578125
3,11,38.68486404418945
3,12,12.88747501373291
3,13,11.47137451171875
3,14,20.798608779907227
3,15,3.9930357933044434
3,16,8.4571533203125
4,5,20.347640991210938
4,6,17.870296478271484
4,7,15.698293685913086
4,8,23.432071685791016
4,9,14.566906929016113
4,10,18.535188674926758
4,11,12.315338134765625
4,12,14.303975105285645
4,13,28.031688690185547
4,14,22.080055236816406
4,15,28.486125946044922
4,16,26.71956443786621
5,6,10.560688018798828
5,7,7.741851329803467
5,8,12.732413291931152
5,9,5.780735015869141
5,10,14.699752807617188
5,11,32.66297912597656
5,12,11.683595657348633
5,13,13.457534790039062
5,14,16.20853614807129
5,15,7.705485820770264
5,16,14.893526077270508
6,7,4.844756126403809
6,8,6.47437858581543
6,9,5.6140828132629395
6,10,4.139065265655518
6,11,29.273033142089844
6,12,3.475642442703247
6,13,11.073994636535645
6,14,26.769224166870117
6,15,11.528430938720703
6,16,9.761870384216309
7,8,6.965242862701416
7,9,2.9281585216522217
7,10,5.8427958488464355
7,11,28.01363182067871
7,12,4.594549179077148
7,13,12.333395004272461
7,14,23.950387954711914
7,15,12.787832260131836
7,16,11.021270751953125
8,9,9.538753509521484
8,10,3.5771923065185547
8,11,35.74740982055664
8,12,9.950020790100098
8,13,4.599616050720215
8,14,28.940950393676758
8,15,3.1366539001464844
8,16,0.6865952014923096
9,10,8.528482437133789
9,11,26.882246017456055
9,12,5.512324810028076
9,13,13.464781761169434
9,14,22.379806518554688
9,15,13.919218063354492
9,16,13.171871185302734
10,11,30.363788604736328
10,12,3.016157865524292
10,13,8.17680835723877
10,14,30.908288955688477
10,15,8.631244659423828
10,16,6.864684104919434
11,12,25.17578887939453
11,13,40.34702682495117
11,14,34.39539337158203
11,15,40.80146408081055
11,16,39.03490447998047
12,13,14.549636840820312
12,14,27.892131805419922
12,15,15.004073143005371
12,16,13.237512588500977
13,14,27.625530242919922
13,15,8.443412780761719
13,16,4.278814315795898
14,15,20.630245208740234
14,16,29.255762100219727
15,16,8.625517845153809
